,director,country,date_added,imdbRating,imdbVotes,language,time,season,type_Movie,type_TV Show,genre,cast_shows,cast_movies
270,0,1,2019.0,6.7,709.0,1,98 ,0,0.0,1.0,0.0,0.0,0.0
272,0,0,2019.0,7.5,11593.0,1,0,1 ,0.0,1.0,1.0,0.0,0.0
273,0,1,2019.0,8.0,2054.0,1,47 ,0,0.0,1.0,0.0,0.0,0.0
274,0,1,2019.0,4.3,1888.0,1,106 ,0,1.0,0.0,0.0,0.0,0.0
275,0,1,2019.0,5.2,17542.0,1,113 ,0,1.0,0.0,0.0,0.0,0.0
276,0,0,2019.0,6.3,28168.0,1,119 ,0,1.0,0.0,0.0,0.0,0.0
277,0,0,2019.0,8.4,12967.0,1,109 ,0,0.0,1.0,0.0,0.0,0.0
278,0,1,2019.0,8.4,70440.0,1,98 ,0,0.0,1.0,0.0,0.0,0.0
279,0,1,2018.0,7.4,1055.0,1,88 ,0,1.0,0.0,0.0,0.0,0.0
280,0,1,2017.0,6.7,181.0,1,116 ,0,1.0,0.0,0.0,0.0,0.0
281,0,1,2016.0,7.3,2134.0,1,106 ,0,1.0,0.0,0.0,0.0,0.0
282,0,1,2019.0,4.5,14632.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
283,0,0,2019.0,8.0,3916.0,1,0,1 ,0.0,1.0,0.0,0.0,0.0
284,0,0,2019.0,6.4,84445.0,0,95 ,0,1.0,0.0,0.0,0.0,0.0
285,0,0,2018.0,6.6,207001.0,0,95 ,0,0.0,1.0,0.0,0.0,0.0
287,0,0,2017.0,6.8,2251.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
288,0,0,2017.0,6.4,1132.0,1,122 ,0,1.0,0.0,0.0,0.0,0.0
289,0,1,2018.0,8.6,2441.0,1,110 ,0,0.0,1.0,0.0,0.0,0.0
291,0,1,2018.0,6.9,7674.0,1,96 ,0,1.0,0.0,0.0,0.0,0.0
292,0,0,2017.0,5.8,63853.0,1,109 ,0,1.0,0.0,0.0,0.0,0.0
293,0,0,2019.0,8.2,8718.0,0,95 ,0,1.0,0.0,0.0,0.0,0.0
294,0,0,2019.0,5.8,88722.0,0,110 ,0,1.0,0.0,0.0,0.0,0.0
295,0,1,2019.0,7.0,6290.0,1,79 ,0,1.0,0.0,0.0,0.0,0.0
296,0,0,2019.0,6.8,1261.0,0,101 ,0,1.0,0.0,0.0,0.0,0.0
297,0,0,2019.0,7.5,558.0,0,112 ,0,0.0,1.0,0.0,0.0,0.0
298,0,0,2018.0,4.4,1848.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
299,0,0,2019.0,6.0,4889.0,1,94 ,0,1.0,0.0,0.0,0.0,0.0
300,0,0,2019.0,7.6,487665.0,0,94 ,0,1.0,0.0,0.0,0.0,0.0
301,0,1,2019.0,6.0,81508.0,1,86 ,0,1.0,0.0,0.0,0.0,0.0
302,0,1,2019.0,7.3,13126.0,1,84 ,0,1.0,0.0,0.0,0.0,0.0
303,0,1,2019.0,5.0,10241.0,1,95 ,0,1.0,0.0,0.0,0.0,0.0
304,0,0,2019.0,8.0,29260.0,1,93 ,0,1.0,0.0,0.0,0.0,0.0
305,0,0,2019.0,6.0,22341.0,1,113 ,0,1.0,0.0,0.0,0.0,0.0
306,0,1,2019.0,6.2,106446.0,1,111 ,0,1.0,0.0,0.0,0.0,0.0
308,0,0,2019.0,6.3,115.0,0,148 ,0,1.0,0.0,0.0,0.0,0.0
309,0,0,2019.0,5.1,34963.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
310,0,0,2019.0,7.4,89368.0,1,92 ,0,1.0,0.0,0.0,0.0,0.0
311,0,0,2019.0,7.9,417899.0,1,107 ,0,1.0,0.0,0.0,0.0,0.0
313,0,0,2019.0,7.5,339.0,0,151 ,0,1.0,0.0,0.0,0.0,0.0
314,0,0,2019.0,6.1,86454.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
315,0,0,2019.0,6.0,137.0,0,0,1 ,1.0,0.0,0.0,0.0,0.0
316,0,1,2019.0,5.7,98562.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
317,0,1,2019.0,6.7,47226.0,0,90 ,0,1.0,0.0,0.0,0.0,0.0
318,0,0,2019.0,3.8,1223.0,1,99 ,0,0.0,1.0,0.0,0.0,0.0
319,0,0,2019.0,5.0,270.0,0,132 ,0,1.0,0.0,0.0,0.0,0.0
320,0,1,2019.0,6.9,65322.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
321,0,1,2019.0,7.6,520191.0,1,95 ,0,1.0,0.0,0.0,0.0,0.0
322,0,0,2019.0,7.6,17653.0,0,155 ,0,1.0,0.0,0.0,0.0,0.0
323,0,0,2019.0,6.2,96.0,1,0,1 ,1.0,0.0,0.0,0.0,0.0
324,0,0,2019.0,6.8,140334.0,0,162 ,0,1.0,0.0,0.0,0.0,0.0
325,0,0,2019.0,5.6,47859.0,0,163 ,0,1.0,0.0,0.0,0.0,0.0
326,0,0,2019.0,6.3,62376.0,0,97 ,0,1.0,0.0,0.0,0.0,0.0
327,0,0,2019.0,6.4,185770.0,0,95 ,0,1.0,0.0,0.0,0.0,0.0
328,0,0,2019.0,6.6,55.0,0,83 ,0,0.0,1.0,0.0,0.0,0.0
329,0,1,2019.0,6.9,246.0,1,28 ,0,0.0,1.0,0.0,0.0,0.0
330,0,0,2019.0,5.8,25.0,1,103 ,0,1.0,0.0,0.0,0.0,0.0
331,0,1,2019.0,4.9,85.0,1,84 ,0,1.0,0.0,0.0,0.0,0.0
